MRFS 12.0.0.1, t1 = 1375241388.887548, t2 = 1375241537.035013, diff = 148.147465, 
MRFS 12.0.0.2, t1 = 1375241399.335234, t2 = 1375241544.059111, diff = 144.723877, 
MRFS 12.0.0.3, t1 = 1375241375.740798, t2 = 1375241528.977463, diff = 153.236665, 
MRFS 12.0.0.4, t1 = 1375241392.060670, t2 = 1375241546.804211, diff = 154.743541, 
MRFS 12.0.0.5, t1 = 1375241389.177423, t2 = 1375241573.458721, diff = 184.281298, 
MRFS 12.0.0.6, t1 = 1375241382.986129, t2 = 1375241565.113972, diff = 182.127843, 
MRFS 12.0.0.7, t1 = 1375241378.643333, t2 = 1375241569.302114, diff = 190.658781, 
MRFS 12.0.0.8, t1 = 1375241388.125951, t2 = 1375241577.718452, diff = 189.592501, 
MRFS 12.0.1.1, t1 = 1375241391.361255, t2 = 1375241539.346473, diff = 147.985218, 
MRFS 12.0.1.2, t1 = 1375241385.395476, t2 = 1375241533.280164, diff = 147.884688, 
MRFS 12.0.1.3, t1 = 1375241367.798408, t2 = 1375241509.853816, diff = 142.055408, 
MRFS 12.0.1.4, t1 = 1375241392.167958, t2 = 1375241546.845121, diff = 154.677163, 
MRFS 12.0.1.5, t1 = 1375241376.840506, t2 = 1375241551.648966, diff = 174.808460, 
MRFS 12.0.1.6, t1 = 1375241392.530863, t2 = 1375241575.308322, diff = 182.777459, 
MRFS 12.0.1.7, t1 = 1375241392.000643, t2 = 1375241578.780838, diff = 186.780195, 
MRFS 12.0.1.8, t1 = 1375241392.004921, t2 = 1375241578.727584, diff = 186.722663, 
MRFS 12.0.2.1, t1 = 1375241371.602298, t2 = 1375241505.035202, diff = 133.432904, 
MRFS 12.0.2.2, t1 = 1375241385.656475, t2 = 1375241535.272435, diff = 149.615960, 
MRFS 12.0.2.3, t1 = 1375241394.828918, t2 = 1375241547.709426, diff = 152.880508, 
MRFS 12.0.2.4, t1 = 1375241400.908876, t2 = 1375241548.766605, diff = 147.857729, 
MRFS 12.0.2.5, t1 = 1375241392.930689, t2 = 1375241576.105830, diff = 183.175141, 
MRFS 12.0.2.6, t1 = 1375241373.720448, t2 = 1375241544.763928, diff = 171.043480, 
MRFS 12.0.2.7, t1 = 1375241392.060380, t2 = 1375241578.929041, diff = 186.868661, 
MRFS 12.0.2.8, t1 = 1375241371.207872, t2 = 1375241548.548108, diff = 177.340236, 
MRFS 12.0.3.1, t1 = 1375241363.494585, t2 = 1375241488.295408, diff = 124.800823, 
MRFS 12.0.3.2, t1 = 1375241367.897108, t2 = 1375241495.432548, diff = 127.535440, 
MRFS 12.0.3.3, t1 = 1375241400.714889, t2 = 1375241548.696217, diff = 147.981328, 
MRFS 12.0.3.4, t1 = 1375241401.077642, t2 = 1375241548.634178, diff = 147.556536, 
MRFS 12.0.3.5, t1 = 1375241388.516442, t2 = 1375241573.151791, diff = 184.635349, 
MRFS 12.0.3.6, t1 = 1375241391.890192, t2 = 1375241576.452431, diff = 184.562239, 
MRFS 12.0.3.7, t1 = 1375241393.215987, t2 = 1375241579.003305, diff = 185.787318, 
MRFS 12.0.3.8, t1 = 1375241391.902677, t2 = 1375241578.900731, diff = 186.998054, 
MRFS 12.1.0.1, t1 = 1375241389.021411, t2 = 1375241537.273660, diff = 148.252249, 
MRFS 12.1.0.2, t1 = 1375241377.354850, t2 = 1375241518.504759, diff = 141.149909, 
MRFS 12.1.0.3, t1 = 1375241399.160148, t2 = 1375241548.735482, diff = 149.575334, 
MRFS 12.1.0.4, t1 = 1375241402.358739, t2 = 1375241548.799767, diff = 146.441028, 
MRFS 12.1.0.5, t1 = 1375241369.647210, t2 = 1375241532.245849, diff = 162.598639, 
MRFS 12.1.0.6, t1 = 1375241393.773041, t2 = 1375241576.006160, diff = 182.233119, 
MRFS 12.1.0.7, t1 = 1375241381.068798, t2 = 1375241572.081694, diff = 191.012896, 
MRFS 12.1.0.8, t1 = 1375241379.957550, t2 = 1375241570.432787, diff = 190.475237, 
MRFS 12.1.1.1, t1 = 1375241400.104331, t2 = 1375241544.217756, diff = 144.113425, 
MRFS 12.1.1.2, t1 = 1375241390.033492, t2 = 1375241538.825847, diff = 148.792355, 
MRFS 12.1.1.3, t1 = 1375241388.071822, t2 = 1375241544.743125, diff = 156.671303, 
MRFS 12.1.1.4, t1 = 1375241401.653983, t2 = 1375241548.735103, diff = 147.081120, 
MRFS 12.1.1.5, t1 = 1375241376.283833, t2 = 1375241548.231204, diff = 171.947371, 
MRFS 12.1.1.6, t1 = 1375241392.573168, t2 = 1375241575.437515, diff = 182.864347, 
MRFS 12.1.1.7, t1 = 1375241392.231490, t2 = 1375241578.888839, diff = 186.657349, 
MRFS 12.1.1.8, t1 = 1375241392.239167, t2 = 1375241578.936509, diff = 186.697342, 
